NaN,0,10,20,25,30,40,50,60,70,80,90,100
0.1,0.0031,0.00357,0.00407,0.00432,0.00459,0.00513,0.00569,0.00626,0.00683,0.00742,0.00801,0.0086
0.5,0.0154,0.01773,0.02022,0.02151,0.02283,0.02553,0.02833,0.03116,0.03406,0.03699,0.03994,0.04289
1,0.03053,0.03518,0.04015,0.04274,0.04537,0.05077,0.05636,0.06203,0.06782,0.07368,0.07958,0.08549
2,0.05994,0.06923,0.07915,0.0843,0.08957,0.1003,0.1115,0.1228,0.1344,0.1461,0.158,0.1698
4,0.1153,0.1338,0.1535,0.1637,0.1742,0.1957,0.218,0.2406,0.2637,0.2871,0.3107,0.3344
6,0.1657,0.1932,0.2226,0.2379,0.2536,0.2856,0.3189,0.3527,0.3873,0.4224,0.4577,0.4932
8,0.211,0.2473,0.2862,0.3064,0.3271,0.3696,0.4138,0.4587,0.5046,0.5512,0.5982,0.6454
10,0.2509,0.2958,0.3439,0.369,0.3946,0.4474,0.5021,0.5579,0.6151,0.6730 ,0.7315,0.7903
12,0.2852,0.3384,0.3954,0.4252,0.4557,0.5184,0.5835,0.65,0.7181,0.7872,0.8570 ,0.9272
14,0.3138,0.3749,0.4405,0.4748,0.5099,0.5823,0.6575,0.7344,0.8132,0.8931,0.9740 ,1.0553
16,0.3365,0.4052,0.4790 ,0.5176,0.5572,0.6388,0.7237,0.8106,0.8997,0.9902,1.0819,1.1741
18,0.3532,0.4291,0.5107,0.5534,0.5972,0.6876,0.7818,0.8783,0.9773,1.0780 ,1.1799,1.2826
20,0.3645,0.4468,0.5355,0.582,0.6298,0.7285,0.8314,0.937,1.0454,1.1558,1.2676,1.3804
22,0.37,0.4582,0.5535,0.6035,0.6549,0.7614,0.8723,0.9865,1.1038,1.2232,1.3444,1.4667
24,0.3702,0.4636,0.5648,0.6179,0.6726,0.7861,0.9045,1.0265,1.1519,1.2798,1.4097,1.5409
26,0.3654,0.4633,0.5695,0.6254,0.683,0.8027,0.9277,1.0569,1.1897,1.3253,1.4631,1.6024
28,0.3562,0.4577,0.5681,0.6263,0.6864,0.8114,0.9421,1.0775,1.2168,1.3593,1.5042,1.6509
30,0.3434,0.4474,0.5610 ,0.6211,0.6831,0.8125,0.9479,1.0885,1.2334,1.3816,1.5327,1.6857
32,0.3277,0.4332,0.5490 ,0.6104,0.6738,0.8064,0.9454,1.0901,1.2393,1.3923,1.5484,1.7067
34,0.3104,0.4162,0.5329,0.5950 ,0.6592,0.7937,0.9351,1.0826,1.2349,1.3914,1.5512,1.7137
36,0.2928,0.3976,0.5139,0.5759,0.6402,0.7753,0.9176,1.0665,1.2206,1.3792,1.5413,1.7065
38,0.2765,0.3788,0.4932,0.5544,0.6181,0.7523,0.894,1.0427,1.1969,1.3560 ,1.5189,1.6852
40,0.2634,0.3617,0.4726,0.5322,0.5944,0.7259,0.8652,1.0121,1.1647,1.3224,1.4845,1.6501
42,0.2558,0.3484,0.454,0.5111,0.5709,0.6978,0.8329,0.9759,1.1250 ,1.2795,1.4386,1.6018
44,0.2565,0.3413,0.4397,0.4933,0.5497,0.67,0.7988,0.9358,1.0791,1.2282,1.3823,1.5407
46,0.2684,0.3434,0.4324,0.4815,0.5333,0.6448,0.765,0.8936,1.0288,1.1701,1.3167,1.4681
48,0.2951,0.3580 ,0.4354,0.4788,0.5249,0.6249,0.734,0.8516,0.9761,1.1070 ,1.2434,1.3851
